Storm Name,Class,Dates,Max. Winds (kt),Min. Pressure (mb),Direct Death,U.S. Damage ($ million),200-850_hPA_Shear(kt),Sea_Surface_Temp(Celsius) ,700-500_hPa_Humidity(%)
Arthur,TS,May-20,50,990,,,15,26,50
Bertha,TS,May-20,45,1005,,,33,27,70
Cristobal,TS,Jun-20,50,988,6,310,43,27,60
Dolly,TS,Jun-20,40,1000,,,20,27,55
Edouard,TS,Jul-20,40,1005,,,30,25,55
Fay,TS,Jul-20,50,998,2,220,15,25,65
Gonzalo,TS,Jul-20,55,997,,,13,27,50
Hanna,H,Jul-20,80,973,4,1100,13,28,70
Isaias,H,Aug-20,80,986,12,5000,25,29,50
Ten,TD,Aug-20,30,1008,,,5,23.5,50
Josephine,TS,Aug-20,40,1004,,,30,29,50
Kyle,TS,Aug-20,45,1000,,,45,26.5,45
Laura,MH,Aug-20,130,937,47,19000,30,27,55
Marco,H,Aug-20,65,991,,,30,30,50
Nana,H,Sep-20,65,994,,,13,28,70
Omar,TS,Sep-20,35,1003,,,13,27,40
Paulette,H,Sep-20,90,965,2,,20,22,50
Rene,TS,Sep-20,40,1001,,,23,28,35
Sally,H,Sep-20,95,966,4,7300,15,29.3,50
Teddy,MH,Sep-20,120,945,3,20,43,28,80
Vicky,TS,Sep-20,45,1001,,,45,26.5,50
Wilfred,TS,Sep-20,35,1006,,,23,27,50
Alpha,SS,Sep-20,45,996,,,25,27,55
Beta,TS,Sep-20,55,993,,225,43,27,40
Gamma,H,Oct-20,65,978,6,,15,27,50
Delta,MH,Oct-20,120,953,2,2900,40,27,35
Epsilon,MH,Oct-20,100,952,1,,15,27,50
Zeta,MH,Oct-20,100,970,5,4400,40,27,55
Eta,MH,Nov-20,130,922,172,1500,40,26,30
Theta,TS,Nov-20,60,987,,,40,27,40
Iota,MH,Nov-20,135,917,67,,15,27,70
